id,name,owner,route,evidence_kind,final_shell_capture,acceptance,evidence_paths
x4dva,1A. Brand light · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x4dva.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x4dva-browser.png
yhesD,1B. Brand dark · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/yhesD.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/yhesD-browser.png
mZMB8,1C. Desktop light · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mZMB8.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/mZMB8-browser.png
Pusy6,1D. Desktop dark · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Pusy6.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Pusy6-browser.png
C9o2u,Cezarion · Shared components,shared a4395cbb — full shell and exact shared icon adapter,,reference board,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/C9o2u.png
cgGWE,2A. Task session · Desktop light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cgGWE.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/cgGWE-browser.png
igwKt,2B. Task session · Desktop dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/igwKt.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/igwKt-browser.png
gVXYn,2C. Task session · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/gVXYn.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/gVXYn-browser.png
nu4S5,2D. Task session · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/nu4S5.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/nu4S5-browser.png
h690uO,2E. Session navigation open · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/h690uO.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/h690uO-state-browser.png
L0VfI,2F. Session navigation open · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/L0VfI.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/L0VfI-state-browser.png
HYltX,3A. Expanded activity · Desktop light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HYltX.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HYltX-detail-browser.png
r7humJ,3B. Expanded activity · Desktop dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/r7humJ.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/r7humJ-detail-browser.png
zwIL4,3C. Expanded activity · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/zwIL4.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/zwIL4-detail-browser.png
es88m,3D. Expanded activity · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/es88m.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/es88m-detail-browser.png
HcGEf,4A. Project tasks · Desktop light,tasks 445,/p/default/,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HcGEf.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HcGEf-browser.png
rstLr,4C. Project tasks · Mobile light,tasks 445,/p/default/,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rstLr.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rstLr-browser.png
FsD5O,4B. Project tasks · Desktop dark,tasks 445,/p/default/,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/FsD5O.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/FsD5O-browser.png
x3GLa,4D. Project tasks · Mobile dark,tasks 445,/p/default/,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x3GLa.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x3GLa-browser.png
c1EQa,5A. All tasks · Desktop light,tasks 445,/tasks,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/c1EQa.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/c1EQa-populated-browser.png
dVuKR,5C. All tasks · Mobile light,tasks 445,/tasks,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/dVuKR.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/dVuKR-populated-browser.png
T5Xpa,5B. All tasks · Desktop dark,tasks 445,/tasks,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/T5Xpa.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/T5Xpa-populated-browser.png
tQmNd,5D. All tasks · Mobile dark,tasks 445,/tasks,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/tQmNd.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/tQmNd-populated-browser.png
rUusA,6A. Git · Changes · Desktop light,git 565,/p/default/git,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rUusA.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/rUusA-browser.png
p8bEI,6C. Git · Changes · Mobile light,git 565,/p/default/git,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/p8bEI.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/p8bEI-browser.png
qxKBh,6B. Git · Changes · Desktop dark,git 565,/p/default/git,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/qxKBh.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/qxKBh-browser.png
CvQao,6D. Git · Changes · Mobile dark,git 565,/p/default/git,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/CvQao.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/CvQao-browser.png
FZ2Hk,7A. Git · Commits · Desktop light,git 565,/p/default/git/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/FZ2Hk.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/FZ2Hk-browser.png
LqDjB,7C. Git · Commits · Mobile light,git 565,/p/default/git/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/LqDjB.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/LqDjB-browser.png
g2Jzw,7B. Git · Commits · Desktop dark,git 565,/p/default/git/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/g2Jzw.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/g2Jzw-browser.png
