ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey,width,height,colors
0,x4dva,1A. Brand light · Start,fDgNy,Open navigation,Cezarion iac,1A. Brand light · Start > Shared mobile header,x4dva/S8uFs,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#667084,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c,20px,20px,#667084
1,x4dva,1A. Brand light · Start,hdpfq,Project,iac,1A. Brand light · Start > Shared mobile header > Project picker,x4dva/S8uFs/CT1L1,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#667084
2,x4dva,1A. Brand light · Start,H9qx4,Change project,iac,1A. Brand light · Start > Shared mobile header > Project picker,x4dva/S8uFs/CT1L1,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#667084
3,x4dva,1A. Brand light · Start,mtqtf,Slash command,Type / for a skill or workflow,1A. Brand light · Start > Task draft > Input hint,x4dva/r1pcP/E4gAm,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883,15px,15px,#667084
4,x4dva,1A. Brand light · Start,UlcRp,Attach,,1A. Brand light · Start > Task draft > Add context > Attach files button,x4dva/r1pcP/sDsss/yKiwW,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4,18px,18px,#667084
5,x4dva,1A. Brand light · Start,s0HXFC,Template icon,Template,1A. Brand light · Start > Task draft > Add context > Template,x4dva/r1pcP/sDsss/i3cyE,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419,16px,16px,#4B5566
6,x4dva,1A. Brand light · Start,RMbq3,Open template picker,Template,1A. Brand light · Start > Task draft > Add context > Template,x4dva/r1pcP/sDsss/i3cyE,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
7,x4dva,1A. Brand light · Start,PxdoG,Skills,Skill,1A. Brand light · Start > Task draft > Add context > Add skill or workflow,x4dva/r1pcP/sDsss/D8Zaf,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
8,x4dva,1A. Brand light · Start,HHgw7,Open skill picker,Skill,1A. Brand light · Start > Task draft > Add context > Add skill or workflow,x4dva/r1pcP/sDsss/D8Zaf,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,13px,13px,#667084
9,x4dva,1A. Brand light · Start,oBkh1,Dictate icon,,1A. Brand light · Start > Task draft > Add context > Dictate,x4dva/r1pcP/sDsss/vLEW0,lucide,mic,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-mic-47006fc57172.svg,lucide/mic/47006fc57172,16px,16px,#4B5566
