oldId,oldName,currentId,currentName,mappingBasis,png
qLCvH,12A. Project settings · Desktop light,PPxMw,S01. Project settings / General · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/PPxMw.png
rJ0pc,12C. Project settings · Mobile light,x7yBQu,S01. Project settings / General · Mobile light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x7yBQu.png
anT0g,12B. Project settings · Desktop dark,T4h3KX,S01. Project settings / General · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/T4h3KX.png
h9Eij,12D. Project settings · Mobile dark,Y9V5h2,S01. Project settings / General · Mobile dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Y9V5h2.png
BNmM5,13A. Global settings · Desktop light,aFFvV,S07. Global settings / General · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/aFFvV.png
c6wef,13C. Global settings · Mobile light,yqIfL,S07. Global settings / General · Mobile light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/yqIfL.png
FKM0u,13B. Global settings · Desktop dark,oHH3V,S07. Global settings / General · Desktop dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/oHH3V.png
O5aKA7,13D. Global settings · Mobile dark,TrsF6,S07. Global settings / General · Mobile dark,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/TrsF6.png
Zbjzg,00. Cezarion · Remaining pages review index,mxZSz,00. Design reference · Current UI and behavior,obsolete index/documentation board consolidated into current behavior reference; not a screen rename,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/mxZSz.png
t0g2h,30A. Project settings · Agents,ur8ZK,S02. Project settings / Agents · Desktop light,"same settings section/theme/viewport; redesigned replacement, not pixel-equivalent",/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/ur8ZK.png
